Roll|Text
2|You turn the bag upside down and a mound of seed pours out.
3|There seems to be nothing but firewood in the bag.
4|Inside the bag are 3 broken and twisted metal armour sections. These are large items.
5|Inside the sack are more empty leather sacks, three in total, and two large potatoes.
6|There are four short wooden stakes in the bag and tucked underneath is a Lock Pick +1(3) and a throwing axe.
7|At the bottom of the sack is a set of shackles, a metal box containing 2D6 +10 SC and some Malako Leaves.
8|Inside the hemp bag in an old shirt is a silver buckle worth 3D6 +30 SC and a magic scroll. Roll on SCT1.
9|You tip out a collection of objects including a purse containing 2D6 +15 SC and a bracelet worth D6 +15 GC.
10|You peer inside the leather bag and see 3 goblets worth 6D6 +20 SC, a throwing dart and a potion. Roll on POT1+1.
11|Caught up in a length of material is a silver necklace worth 3D6 +10 GC, set with D6 +1 MQ garnets.
12|This seems to be the valuables from a raid including D6 MQ pearls, D3 +1 LQ rubies and D3 LQ emeralds.
