Roll|Text
2|The container is full of earth and stone.
3|The box contains an empty leather sack and a scattering of sunflower seeds.
4|Inside the chest, wrapped in a cloth are some slices of cheese, which is not enough for a ration.
5|There are six metal hooked spikes and a length of rope inside the chest and a Lock Pick +1(4).
6|A selection of worthless wooden bowls fill the chest. At the bottom is a casket full of 2D6 +10 SC.
7|The chest is full of folded uniforms. At the bottom is a piece of armour roll on ART1.
8|You open the lid and see a mix of loot items. Among it you find 2D6 +20 SC, a gold ring worth D6 GC and a throwing axe.
9|You tip out a collection of objects including a purse containing 2D6 +20 SC and a bracelet worth D6 +10 GC.
10|You flip the lid up and are amazed to see a sack of coins. 4D6 +20 GC, 2D6 +10 SC and roll on HAOIT1.
11|There are a range of loot objects in the chest, including 2 throwing knives and a potion. Roll on POT1.
12|This chest is full of loot. Gain 1 ration, 4D6 +15 GC, a throwing knife, some dried meat and a piece of armour. Roll on ART2.
