Roll|Text
2|Slotted into place the gems begin to vibrate and explode in your face. They are destroyed. Lose 2 HP.
3|You watch stunned as the gems evaporate, giving off a wisp of smoke that stings your eyes painfully. Lose 1 HP.
4|Now placed, the gems turn yellow and crack, as they ring loudly. Roll on L1P and fight the alerted foe.
5|You carefully place the gems into the slots. They sit neatly but when you blink they disappear. Nothing further happens.
6|Now in the slots, they begin to glow and you're shocked to see them melt, pool and spill over, to splash on the floor.
7|You pop the gems into place but nothing happens. You remove them and keep the gems.
8|Once in place cracks appear between the slots making it break apart. Nothing more happens. You keep the gems.
9|As you load up the slots they meld into the object and it throbs with warmth. Restore all HP once and keep the object.
10|Gems in place, silver forms around them and the item appears complete. Add 2D6 GC to the value.
11|The item glows with the gems in place. Roll D6 and gain immunity to 1-2= Fire, 3-4= Ice, 5-6= Poison, while you have the item.
12|Gems in place, blue magical energy swirls around the item giving it the power of a wand of lightning with D3 charges.
