Roll|Text
2|Nothing and the material unravels as you open it, making it useless.
3|Nothing. The pouch is empty.
4|Nothing. The pouch is empty.
5|Inside the pouch is a small ebony bead.
6|Inside the pouch is a ball of thread and needle.
7|Inside the pouch are some acorns which have been carved with small tree symbols.
8|There are some Ilios Petals and Dankoma Stems.
9|Inside is a small wooden symbol embedded with 3 LQ pearls.
10|Inside is a high quality Lock Pick +3 (4) and 5D6 +30 SC.
11|Inside the pouch is a small glass bottle containing a Potion of Shield Aura and 3D6 +20 GC.
12|Carefully wrapped in cotton cloth are 2 Explosive Marbles. They must be kept wrapped.
