Roll|Text
2|There is nothing to see here.
3|You rummage through the pile but it's covered in some sticky substance so is of no use.
4|Whatever was here is now a burnt pile of ash.
5|The pile is full of burnt scrap and broken objects none of which can be salvaged.
6|There are some small, twisted bits of metal in the scrap and rubbish.
7|There is a length of twine and some leather straps in the pile.
8|You realise this is the remains of a fire with a few coals scattered in amongst the debris.
9|On closer inspection this is the burnt remains of an animal and there are fragments of bone.
10|This pile seems to consist of mainly oak leaves and at the bottom is an acorn.
11|Caught up in the rubbish are some strips of material.
12|There is a fungal bloom underneath the rubbish. Growing on this is a purple mushroom.
