Roll|Text
2|There is a dusty empty hole.
3|There are some splinters of wood and nothing more.
4|Inside are some shards of ebony, that were once a small statue.
5|There are two gold goblets here. Each worth 2D6 +10 GC.
6|Inside is some cloth, which you unravel to reveal three throwing knives +1.
7|There is a small box of trinkets here. Inside is a glass orb, an acorn and a black feather.
8|Upon the ledge is a Potion of Extra Healing.
9|There is a small box. Inside are 2D6 LQ pearls sitting in some silk cloth.
10|There is a golden idol sitting in the centre of the hole. It is worth 4D6 +25 GC.
11|Inside are two dusty potions. Roll on POT2 and POT3.
12|Inside, placed on a small wooden block, is a rune stone. Roll on RUNE1.
