Roll|Text
2|There are some withered rags and dusty cobwebs. There is nothing here.
3|Inside there is some decomposed wood laying in dirt and detritus.
4|The stone space is clean and rough. There is nothing here.
5|A rod of iron lays in the dirt. You don't know what it was used for. This is a large item.
6|There is a dusty old shield here. It is useless but the straps on the back are salvageable.
7|At the bottom of the space is an old vase. Inside are some gold bands worth 2D6 GC.
8|Laying along the base is an old cloak and stuffed inside are some Kathoto Spines.
9|There is a case in the stone grave, tucked to one side. Inside you find a scroll. Roll on SCT3.
10|Just laying at the foot of the sarcophagus is a rune stone. Roll on RUNE2.
11|There is a piece of well-preserved armour here. Roll on ART2.
12|As if fallen from the risen corpse an amulet lies in the sarcophagus. Roll on MA1.
