Roll|Text
2|Some black sludge is smeared on the surface. You have no idea what left it here.
3|The table is covered in scratches.
4|The table is bare.
5|There is an empty sack on the table.
6|An empty pouch is here.
7|On the table is a coil of rope.
8|There is a small broken god idol here. Roll on GOT1. Pass a Precision Check PC10(2) to fix it to gain 1 FP.
9|There is a parchment here on which is some writing you cannot read.
10|There is a piece of armour here that is broken, roll on ART2. It is missing its leather strap fasteners.
11|Four people once sat here. Their empty tin plates remain. Next to one is a silver fork worth 5 SC.
12|There is some poisonous mold here. If you apply it to your weapon do 1 extra damage per round for 1 combat.
