Roll|Text
2|There is nothing inside the urn but dust.
3|The urn has never been used. It is clean and empty.
4|There are some fragments of bone rattling around the urn.
5|There is half a copper pendant worth D6 SC here.
6|There is some ash here which is clearly from the remains of a small creature. You find a small set of fangs.
7|Caught up in some old twigs are two leather straps.
8|There are four pieces of coal in the urn.
9|In amongst the burnt bone are some Ilios Petals and Dankoma Stems.
10|There is a small package at the bottom. Inside it are three throwing darts and a pouch with 3D6 +10 GC.
11|You rummage around and find a piece of jewellery worth 4D6 +20 GC.
12|Wrapped in a small leather pouch is a rune stone. Roll on RUNE1.
